t,y,y1,y2
29.4532733,-37.3974609375,5.3369140625,3.2763671875
29.4876547,-35.3466796875,3.2861328125,1.3232421875
29.5350438,-33.4423828125,0.6005859375,-0.2392578125
29.5463297,-31.2451171875,-0.9130859375,-2.5341796875
29.5917195,-29.9267578125,-3.3056640625,-4.4384765625
29.6066082,-28.6083984375,-5.1611328125,-6.0986328125
29.6343081,-28.7548828125,-5.7958984375,-7.6611328125
29.6685882,-28.8525390625,-7.2607421875,-9.2724609375
29.7145167,-28.3154296875,-8.8232421875,-11.4208984375
29.7283791,-28.2666015625,-10.4833984375,-13.2275390625
29.7732779,-28.7060546875,-12.5830078125,-15.5224609375
29.7869087,-29.1943359375,-11.7041015625,-16.3525390625
29.8202819,-30.0244140625,-6.4794921875,-12.8369140625
29.8642495,-31.2451171875,-2.4755859375,-6.2939453125
29.8794811,-31.6845703125,0.3564453125,1.4697265625
29.9243726,-32.1728515625,4.1650390625,7.5244140625
29.9388771,-33.0029296875,8.9501953125,13.3349609375
29.9817845,-33.8330078125,12.8076171875,17.4853515625
30.0029019,-34.2724609375,16.9091796875,20.1220703125
30.044423,-35.5908203125,18.5205078125,20.3173828125
30.0652717,-37.2509765625,18.3740234375,18.4130859375
30.1049562,-37.7880859375,18.1787109375,15.4833984375
30.1189583,-39.5458984375,19.4970703125,13.8232421875
30.1643576,-39.3994140625,18.8623046875,12.4072265625
30.1856843,-41.2060546875,18.9111328125,10.4541015625
30.2076876,-43.0615234375,16.9580078125,8.1591796875
30.2413207,-44.7705078125,15.2490234375,5.9619140625
30.2834263,-45.4052734375,13.2470703125,4.1552734375
30.3029999,-44.1357421875,11.2939453125,1.0791015625
30.3436262,-41.6943359375,8.0712890625,-1.5087890625
30.3639887,-38.6181640625,7.2412109375,-3.6572265625
30.4051291,-37.1533203125,5.1904296875,-5.6103515625
30.4243915,-34.9560546875,3.2861328125,-8.0517578125
30.4632887,-33.6865234375,1.7236328125,-10.5419921875
30.4824792,-31.6357421875,-0.2783203125,-12.6904296875
30.524131,-30.3173828125,-1.6455078125,-15.0341796875
30.5426284,-29.0478515625,-2.1337890625,-17.1337890625
30.5863278,-29.6337890625,-3.5009765625,-18.8916015625
30.6053655,-28.9990234375,-5.0146484375,-19.9658203125
30.6474361,-29.3408203125,-6.6259765625,-23.2373046875
30.6672782,-29.8779296875,-8.6279296875,-25.4345703125
30.7137435,-29.9755859375,-8.2373046875,-26.4599609375
30.7371876,-30.4638671875,-4.9658203125,-25.9716796875
30.7532261,-32.3193359375,-0.3759765625,-20.8935546875
30.7954762,-33.3935546875,2.9443359375,-14.4970703125
30.8140035,-34.0283203125,7.1435546875,-7.7099609375
30.8545427,-35.1025390625,12.2705078125,-1.3134765625
30.8758369,-35.9814453125,16.2744140625,3.0322265625
30.9155219,-36.8603515625,21.0107421875,6.6943359375
30.9369088,-38.6181640625,24.2333984375,9.4775390625
30.9789972,-39.7412109375,26.3330078125,9.4287109375
30.9990149,-40.8154296875,25.1123046875,7.2802734375
31.0413597,-41.3525390625,27.0654296875,4.9853515625
31.0570107,-43.3056640625,26.4794921875,3.3740234375
31.1025768,-44.6240234375,26.2353515625,1.7626953125
31.1123725,-46.2841796875,24.8681640625,0.2001953125
31.1504498,-46.7724609375,23.0126953125,-2.0458984375
31.1745618,-47.5537109375,17.8857421875,-4.0966796875
31.214631,-48.4326171875,16.1279296875,-6.5380859375
31.2350846,-46.6259765625,14.0283203125,-8.5888671875
31.2768724,-42.8662109375,11.6845703125,-9.9560546875
31.2966179,-39.8388671875,10.5126953125,-12.8369140625
31.3368443,-39.2529296875,8.0224609375,-14.5947265625
31.3582729,-36.5185546875,5.5322265625,-15.9619140625
31.3991163,-34.6142578125,3.9697265625,-18.1103515625
31.419522,-32.3193359375,1.5283203125,-19.6728515625
31.4594873,-30.7568359375,0.3076171875,-21.8212890625
31.4813811,-30.2685546875,-1.3037109375,-23.4326171875
31.5191999,-30.4150390625,-2.5732421875,-25.9716796875
31.541407,-30.7568359375,-4.9658203125,-27.1923828125
31.5838775,-30.2197265625,-8.2861328125,-28.8037109375
31.5948354,-30.3173828125,-9.5068359375,-30.9033203125
31.6350095,-30.9033203125,-7.8955078125,-30.7568359375
31.6589704,-31.9775390625,-4.0380859375,-27.6318359375
31.6859499,-31.8310546875,-0.1806640625,-21.2841796875
31.7225836,-33.5400390625,2.7978515625,-13.2275390625
31.746452,-35.0048828125,6.5576171875,-6.9287109375
31.7881168,-35.9814453125,11.0009765625,-0.2392578125
31.811142,-36.5673828125,15.4931640625,4.9853515625
31.853111,-38.2763671875,18.6669921875,8.7939453125
31.8748078,-39.4482421875,22.3779296875,10.9912109375
31.9153958,-40.7177734375,21.4501953125,10.1611328125
31.9343953,-41.8896484375,21.0595703125,8.3544921875
31.9723555,-43.0126953125,20.6201171875,6.6455078125
31.9932478,-44.1357421875,19.5458984375,5.2294921875
32.0333848,-45.5517578125,17.9833984375,3.8134765625
32.0536796,-46.8212890625,17.1533203125,1.6650390625
32.0957519,-47.6513671875,14.9560546875,-0.7275390625
32.1157195,-48.6767578125,11.9775390625,-1.7041015625
32.1596698,-48.8720703125,10.1220703125,-3.8525390625
32.1711894,-46.5283203125,6.8505859375,-5.9521484375
32.2122926,-42.3291015625,4.7509765625,-7.8076171875
32.2331844,-40.4248046875,3.0908203125,-9.5654296875
32.2732803,-37.8857421875,0.6982421875,-11.6162109375
32.2934809,-36.1279296875,-1.5966796875,-12.5439453125
32.3319013,-34.6630859375,-4.1357421875,-14.5458984375
32.3537803,-32.1240234375,-5.8447265625,-15.6689453125
32.3931284,-30.9033203125,-7.6025390625,-16.9873046875
32.4131404,-30.3662109375,-9.1162109375,-18.5498046875
32.4517849,-30.1708984375,-11.5087890625,-19.8681640625
32.4727357,-29.7314453125,-13.3642578125,-21.8212890625
32.5154258,-29.6826171875,-14.4384765625,-22.9931640625
32.5357789,-30.2685546875,-13.9501953125,-23.4814453125
32.5749386,-30.2685546875,-8.6767578125,-21.1376953125
32.5961818,-31.5380859375,-3.5009765625,-15.2294921875
32.6387522,-31.5869140625,-0.7177734375,-6.8310546875
32.6531629,-32.3193359375,4.1162109375,0.4931640625
32.6940583,-33.4423828125,9.4873046875,6.7919921875
32.7152504,-34.7607421875,13.0517578125,11.2353515625
32.7553531,-35.0048828125,17.4462890625,14.6533203125
32.7769138,-36.2744140625,18.7158203125,17.3876953125
32.8177057,-37.2998046875,17.7392578125,16.2646484375
32.8386031,-38.2275390625,16.8115234375,14.3115234375
32.8665881,-39.5458984375,17.4951171875,12.6025390625
32.9077781,-40.0830078125,15.9326171875,11.4794921875
32.92849,-41.3037109375,15.2001953125,9.9169921875
32.9676178,-43.0126953125,13.7841796875,8.1103515625
32.9866992,-43.9404296875,11.7333984375,7.1826171875
33.0286036,-44.9169921875,9.3896484375,5.5224609375
33.0494571,-45.7958984375,6.7041015625,3.0322265625
33.0746441,-45.1123046875,3.2861328125,0.8349609375
33.1128219,-41.8896484375,0.8447265625,-0.8740234375
33.1361591,-39.3505859375,-1.3525390625,-2.4853515625
33.186598,-38.0322265625,-3.0615234375,-4.5849609375
33.2066921,-36.3232421875,-5.6005859375,-6.4892578125
33.2269877,-33.6865234375,-6.8701171875,-8.5400390625
33.2673396,-32.6611328125,-8.6279296875,-10.2490234375
